111,172,172,172,172,172,172,172,172,110,108,108,108,108,108,108,108,108,108,108
109,238,240,240,238,240,240,238,240,107,108,108,108,108,108,108,108,108,108,108
109,249,883,764,763,883,884,377,439,162,108,108,108,108,108,108,108,108,108,108
109,313,440,439,439,439,439,439,440,227,108,108,108,108,108,108,108,108,108,108
109,440,439,439,440,439,439,440,439,226,108,108,108,108,108,108,108,108,108,108
109,826,435,440,890,1018,891,439,439,107,172,172,172,172,172,172,172,172,172,110
47,44,44,44,44,44,45,682,682,105,237,418,176,237,237,609,610,237,237,107
-1,-1,-1,-1,-1,-1,109,682,682,169,681,681,607,608,681,673,674,97,33,107
-1,-1,-1,-1,-1,-1,109,682,682,2024,681,681,671,672,681,681,681,681,414,107
-1,-1,-1,-1,-1,-1,109,682,682,41,681,681,681,928,681,681,681,681,478,107
-1,-1,-1,-1,-1,-1,109,682,682,105,612,681,681,681,681,1317,1318,1318,1319,107
-1,-1,-1,-1,-1,-1,109,682,682,105,676,681,681,681,681,1445,1446,1446,1447,107
-1,-1,-1,-1,-1,-1,109,1829,1831,107,44,44,44,44,44,44,44,44,44,46
-1,-1,-1,-1,-1,-1,47,44,44,46,108,108,108,108,108,108,108,108,108,108
